name,address,website,phone_number,reviews_average,latitude,longitude
New York Family Dental Arts,"200 E 72nd St, New York, NY 10021، الولايات المتحدة",dentalartsny.com,+1 212-628-3300,4.9,40.7693746,-73.8881946
New York General Dentistry,"133 E 58th St Ste 409, New York, NY 10022، الولايات المتحدة",newyorkgeneraldentistry.com,+1 212-838-0842,5.0,40.7693746,-73.8881946
209 NYC Dental,"209 E 56th St 1st floor, New York, NY 10022، الولايات المتحدة",209nycdental.com,+1 646-493-6891,4.8,40.7693746,-73.8881946
Diamond District Dental NYC,"10 W 46th St #1401, New York, NY 10036، الولايات المتحدة",dddentalnyc.com,+1 212-759-5595,4.9,40.7693746,-73.8881946
Expert Dental - Midtown,"110 E 40th St #104, New York, NY 10016، الولايات المتحدة",expertdentalnyc.com,+1 212-763-3383,4.5,40.7693746,-73.8881946
Sky Dental,"111 Broadway Suite 1304, New York, NY 10006، الولايات المتحدة",skydentalnyc.com,+1 212-600-1996,4.9,40.7086853,-73.9394509
Wall Street Dental Spa - Financial District,"30 Wall St #720, New York, NY 10005، الولايات المتحدة",wallstdentalspanyc.com,+1 646-849-6916,4.9,40.7086853,-73.9394509
The Exchange Dental Group,"39 Broadway Suite 2115, New York, NY 10006، الولايات المتحدة",theexchangedentalgroup.com,+1 212-422-9229,4.9,40.7086853,-73.9394509
Midtown Dental Group Fashion District,"241 W 37th St Ground Floor, New York, NY 10018، الولايات المتحدة",midtowndentalgroup.com,+1 212-730-4440,4.9,40.7538706,-73.9188479
NYC Smile Spa,"30 E 60th St Suite 1201, New York, NY 10022، الولايات المتحدة",nycsmilespa.com,+1 646-374-2242,4.9,40.7538706,-73.9188479
Advanced Dental Arts NYC - LANAP Specialist,"55 E 9th St, New York, NY 10003، الولايات المتحدة",advanceddentalartsnyc.com,+1 212-388-1170,4.8,40.7538706,-73.9188479
Pearl Dental NYC,"233 Broadway Suite 1801, New York, NY 10279، الولايات المتحدة",pearldentalnyc.com,+1 212-344-9317,4.9,40.7538706,-73.9188479
New York Dental Office,"245 E 63rd St #110, New York, NY 10065، الولايات المتحدة",newyorkdentaloffice.com,+1 212-548-3261,4.9,40.7538706,-73.9188479
Keith Bracy DDS Dentistry,"100 W 12th St #1d, New York, NY 10011، الولايات المتحدة",drbracy.com,+1 212-390-8399,5.0,40.7538706,-73.9188479
"Washington Square Dental Group, P.C.","2 5th Ave #4, New York, NY 10011، الولايات المتحدة",washingtonsquaredentalgroup.com,+1 212-674-4011,5.0,40.7538706,-73.9188479
East Village Dental Center,"55 Loisaida Ave, New York, NY 10009، الولايات المتحدة",eastvillagedentalcenter.com,+1 682-382-9614,4.6,40.7538706,-73.9188479
New York Dental Group,"24 5th Ave lobby 3, New York, NY 10011، الولايات المتحدة",newyorkdentalgrp.com,+1 212-989-5253,5.0,40.7538706,-73.9188479
SoHo Dental Group,"552 Broadway #505, New York, NY 10012، الولايات المتحدة",sohodentalgroup.com,+1 646-849-1737,4.8,40.7538706,-73.9188479
ORAL Dental Studio NYC,"131 Essex St Floor 2, New York, NY 10002، الولايات المتحدة",oral.dental,+1 646-681-7006,5.0,40.7538706,-73.9188479
Tribeca Dental Care,"402 Broadway, New York, NY 10013، الولايات المتحدة",tribecanydentistoffice.com,+1 212-431-4582,4.8,40.7538706,-73.9188479
Maiden Lane Dental,"80 Maiden Ln #702, New York, NY 10038، الولايات المتحدة",maidenlanedental.com,+1 212-509-4585,4.9,40.7538706,-73.9188479
Lumia Dental PLLC,"160 Broadway # 1004, New York, NY 10038، الولايات المتحدة",lumiadental.com,+1 212-287-1275,4.9,40.7538706,-73.9188479
My NYC Dentist - 34th Street Dental,"225 W 35th St # 2, New York, NY 10001، الولايات المتحدة",mynyc-dentist.com,+1 212-564-8164,4.8,40.7538706,-73.9188479
Sachar Dental NYC,"20 E 46th St Rm 1301, New York, NY 10017، الولايات المتحدة",sachardental.com,+1 212-752-1163,5.0,40.7538706,-73.9188479
Dr. Toksoy | Studio Dental NY | Minimally Invasive Esthetic and Implant Dentistry,"81 Irving Pl # 1d, New York, NY 10003، الولايات المتحدة",drdavidtoksoy.com,+1 212-260-2652,5.0,40.7538706,-73.9188479
Park 56 Dental,"6th Fl, 120 E 56th St Rm 610, New York, NY 10022، الولايات المتحدة",park56dental.com,+1 212-826-2322,4.9,40.7538706,-73.9188479
NYC Dental Center,"216 E 39th St #1, New York, NY 10016، الولايات المتحدة",weence.com,+1 646-861-3070,4.4,40.7538706,-73.9188479
NY Center for Aesthetic and Laser Dentistry-Invisalign and Sleep Apnea dentist,"57 W 57th St #605, New York, NY 10019، الولايات المتحدة",nylaserdentist.com,+1 646-862-3178,5.0,40.7538706,-73.9188479
Gramercy Smiles Holistic Dental,"108 E 23rd St, New York, NY 10010، الولايات المتحدة",dentist-holistic.com,+1 212-475-0284,4.9,40.7538706,-73.9188479
West Village Dental Studio,"535 Hudson St #1C, New York, NY 10014، الولايات المتحدة",westvillagedentalstudio.com,+1 646-852-6890,4.9,40.7538706,-73.9188479
New York Dental Studio,"30 E 60th St suite 2402, New York, NY 10022، الولايات المتحدة",nydentalstudio.com,+1 212-588-1809,4.9,40.7538706,-73.9188479
Herald Square Dental,"224 W 35th St Floor 16, Suite 1600, New York, NY 10001، الولايات المتحدة",heraldsquarecosmeticdental.com,+1 212-689-0024,4.8,40.7538706,-73.9188479
Central Park Dentistry,"30 Central Park S #2b, New York, NY 10019، الولايات المتحدة",cpsdent.com,+1 212-486-6211,4.7,40.7538706,-73.9188479
Village Dental NYC,"77 E 12th St, New York, NY 10003، الولايات المتحدة",villagedentalnyc.com,+1 315-860-0238,4.7,40.7538706,-73.9188479
TriBeCa Dental Associates | Murray,"21 Murray St 4th floor, New York, NY 10007، الولايات المتحدة",tribeca.dental,+1 212-671-3749,4.9,40.7538706,-73.9188479
BH Dental NY,"2090 Adam Clayton Powell Jr Blvd, New York, NY 10027، الولايات المتحدة",bhdentalnyc.com,+1 607-600-6581,4.6,40.8087643,-73.8767886
Midtown Dental Care Associates,"12 E 41st St suite 1100, New York, NY 10017، الولايات المتحدة",midtowndentalcareassociates.com,+1 212-685-4730,5.0,40.752382,-73.9085632
My NYC Dentist - Hudson Street Dental,"90 Vandam St, New York, NY 10013، الولايات المتحدة",mynyc-dentist.com,+1 212-359-0064,4.9,40.752382,-73.9085632
Astor Smile Dental,"53 W 11th St g, New York, NY 10011، الولايات المتحدة",astorsmiledental.com,+1 212-254-0800,5.0,40.752382,-73.9085632
Smile Design Manhattan,"575 Madison Ave 23rd Floor, New York, NY 10022، الولايات المتحدة",smiledesignmanhattan.com,,5.0,40.752382,-73.9085632
Les Belles Dentistry,"110 E 60th St # 902, New York, NY 10022، الولايات المتحدة",lesbellesnyc.com,+1 212-804-7197,4.9,40.752382,-73.9085632
New York Midtown Dental PC,"1560 Broadway #601, New York, NY 10036، الولايات المتحدة",nymidtowndental.com,+1 212-278-8105,5.0,40.752382,-73.9085632
New York DMD,"115 E 61st St Suite 12A, New York, NY 10065، الولايات المتحدة",newyorkdmd.com,+1 917-284-9680,4.9,40.752382,-73.9085632
"Esthetix Dentist, NYC's Dental Implant & Cosmetic Specialist","285 Fort Washington Ave, New York, NY 10032، الولايات المتحدة",esthetixdentalspa.com,+1 212-795-9675,4.8,40.8450168,-73.8687438
Midtown Dental Group NoMad,"1158 Broadway 3rd floor, New York, NY 10001، الولايات المتحدة",midtowndentalgroup.com,+1 212-213-4029,4.9,40.7445459,-73.9165222
172 NYC Dental,"172 Madison Ave Comm 1, New York, NY 10016، الولايات المتحدة",172nycdental.com,+1 646-921-5541,4.8,40.7445459,-73.9165222
347 Fifth Avenue Affiliated with The Smilist Dental,"347 5th Ave suite 1310, New York, NY 10016، الولايات المتحدة",thesmilist.com,+1 212-574-4650,4.8,40.7445459,-73.9165222
Dental House,"41 Seventh Ave. (At, W 13th St, New York, NY 10011، الولايات المتحدة",dentalhousenyc.com,+1 212-888-3384,5.0,40.7445459,-73.9165222
Sound Dental NYC,"42 Lafayette St, New York, NY 10013، الولايات المتحدة",sounddentalnyc.com,+1 917-261-6464,4.9,40.7445459,-73.9165222
Village Dental Medicine,"401 6th Ave, New York, NY 10014، الولايات المتحدة",villagedentalmedicine.com,+1 212-741-1100,4.9,40.7445459,-73.9165222
Modern Dental of Manhattan,"425 Madison Ave # 500, New York, NY 10017، الولايات المتحدة",manhattandentists.com,+1 212-758-1000,4.9,40.7445459,-73.9165222
"Manhattan Dental Spa: John Vargas DDS, Allison Gordon DMD, & Mitchell Charnas DMD","200 Madison Ave Suite 2201, New York, NY 10016، الولايات المتحدة",manhattandentalspa.com,+1 212-683-2530,4.9,40.7445459,-73.9165222
FiDi Dental,"125 Maiden Ln #17b, New York, NY 10038، الولايات المتحدة",fididentalnyc.com,+1 212-742-2070,4.9,40.7445459,-73.9165222
Better Living through Dentistry : Manhattan,"155 W 68th St #228, New York, NY 10023، الولايات المتحدة",implantnyc.com,+1 212-724-6280,4.9,40.7445459,-73.9165222
Your Dental Bryant Park,"501 5th Ave #703, New York, NY 10017، الولايات المتحدة",yrdental.com,+1 212-682-5580,5.0,40.7445459,-73.9165222
Dentique NYC,"274 Madison Ave #1702, New York, NY 10016، الولايات المتحدة",dentiquenyc.com,+1 212-889-8870,4.7,40.7445459,-73.9165222
Thyme Dental Care,"57 W 57th St #702, New York, NY 10019، الولايات المتحدة",thymedentalcare.com,+1 212-688-3472,4.9,40.7445459,-73.9165222
Central Park West Dental,"101 Central Park W # 1d, New York, NY 10023، الولايات المتحدة",centralparkwestdental.com,+1 212-877-0405,5.0,40.7445459,-73.9165222
212 Smiling,"314 W 56th St #105, New York, NY 10019، الولايات المتحدة",212smiling.com,+1 212-764-5464,4.9,40.7445459,-73.9165222
"Soho Dental Loft - Lee Gold DDS, PC","589 Broadway 2nd floor, New York, NY 10012، الولايات المتحدة",sohodentalloft.com,+1 646-870-5652,5.0,40.7445459,-73.9165222
Wally Health,"107 N 6th St 2nd Floor, Brooklyn, NY 11249، الولايات المتحدة",carebywally.com,,4.6,40.7445459,-73.9165222
BrightRay Dental 精典牙科診所－纽约 法拉盛 牙周病 根管治疗 植牙 牙齿矫正 专科 医生 诊所／全口植牙 抽神经牙科 假牙 补牙 美容牙科 儿童牙科 医生 诊所 专家 推荐,"131-07 40th Rd level 5 unit 36, Flushing, NY 11354، الولايات المتحدة",brightraydental.com,+1 718-888-1817,4.4,40.7445459,-73.9165222
